"league_id","pixel_prod_num","center_number","name","start_date","end_date","lineage_cost","centaman_league_number","day_of_week","cover","gl_account"
"00743219-684E-47E3-BBC0-B65595B6E5E4","","873","5703-Inland Empire Ladies Club","08/26/2018 0:00","02/24/2019 0:00","10","5703","7","4","4115"
"008D3D28-2B3C-46B5-9B79-2D7071A46140","","34","7609-UBA Team Relay","10/27/2018 0:00","12/02/2018 0:00","2.5","9997609","8","1","4140"
"01778D23-D8F3-4D8F-9DD8-EC954C8DDBEC","","64","7704-Capital City Rollers","09/30/2018 0:00","11/04/2018 0:00","14","9997704","8","4","4140"
"01B21E2B-D9D9-4A07-94A9-A402E91ED711","","534","7700-Future Stars Youth Tourna","10/28/2018 0:00","12/02/2018 0:00","15","9997700","8","6","4140"
"027188BD-E28C-4A7C-B944-74FDFAE23C55","","78","7729-Steppe Tournament 11/11/1","10/28/2018 0:00","11/26/2018 0:00","4","9997729","8","1","4140"
"02C986F5-298E-40F5-85DF-EC4BBB503229","","598","7713-TCUSBC SUNDAY TMTS. 08/20","08/06/2017 0:00","03/03/2019 0:00","3","9997713","8","1","4140"
"02FF99FB-D653-481C-B1C0-CB307F9E20C7","","824","7797-CAA Bettering Veterans Li","10/28/2018 0:00","12/09/2018 0:00","6","9997797","8","3","4140"
"031B9467-CE2F-44EE-BA44-6852F69C2F00","","885","5403-Thursday Night Social","10/25/2018 0:00","06/06/2019 0:00","12.25","5403","4","3","4115"
"035686F5-1013-4532-B654-E4CDADD43A14","","883","7766-Lower Delaware USBC Trios","10/28/2018 0:00","12/02/2018 0:00","9","9997766","8","3","4140"
"039732D9-484B-4487-9070-61AD71E2B123","","204","5308-Misty Creek Bowling Club ","10/03/2018 0:00","05/08/2019 0:00","11","5308","3","3","4115"
"04253595-E6EB-40E1-B9E1-569C6857FA47","","881","5302-Good Time Gang","09/19/2018 0:00","05/29/2019 0:00","14.46","5302","3","3","4115"
"04867E00-34C1-44DC-8BBB-11174205C3E8","","852","5504-BRUNSWICK ZONE SENIORS","08/24/2018 0:00","05/24/2019 0:00","9.5","5504","5","3","4130"
"05274BCF-2B0D-4E04-A21D-DC6FE664C204","","342","9400-Family Time Bowling Club","10/25/2018 0:00","01/31/2019 0:00","10","9400","4","3","4115"
"063A936B-B756-4267-9034-F582C000DF37","","223","5105-L8 Night No Tap","10/22/2018 0:00","01/21/2019 0:00","8","5105","1","3","4115"
"074E07EE-275E-4822-A04C-BBB1DEF3439B","","835","5500-Alley Kats","08/24/2018 0:00","05/24/2019 0:00","12.25","5500","5","3","4125"
"07C7C9A4-3ACE-4902-9735-5FD849DDBE2F","","64","5605-UBC ADULTS FALL 2018","08/12/2018 0:00","05/18/2019 0:00","12","5605","6","3","4115"
"07C7D080-F4B3-475F-BDDB-6DCCBA0D270B","","806","5201-Construction A 2018 FALL","08/21/2018 0:00","06/04/2019 0:00","13.8","5201","2","3","4115"
"0833B44D-92E6-4959-92DB-9BDEC2018FA0","","884","9700-Family Time Bowling Club","10/21/2018 0:00","01/06/2019 0:00","10","9700","7","3","4125"
